CLASS PATH                               | JOB NAME             | ABILITY A            | ABILITY B
----------------------------------------------------------------------------------------------------
Archer.tres                              | Archer               | Parting Shot         | Deadeye Shot
AscendedClass\DawnExalt.tres             | Dawn Exalt           | Sacred Judgment      | Elemental Convergence
AscendedClass\RiftArchon.tres            | Rift Archon          | Aether Bind          | Meteor Storm
AscendedClass\VoidStrider.tres           | Void Strider         | Ultimate Shadow Step | Soul Harvest
Beastmaster.tres                         | Beastmaster          | Roar                 | Frenzy
Cannoneer.tres                           | Cannoneer            | Ballista Shot        | Earthshatter
Cleric.tres                              | Cleric               | Healing Light        | 
Dancer.tres                              | Dancer               | Battle Cry           | Flurry Strike
Flier.tres                               | Flier                | Charge               | Parting Shot
Knight.tres                              | Knight               | Charge               | Power Strike
Mage.tres                                | Mage                 | Fireball             | Meteor Storm
Mercenary.tres                           | Mercenary            | Bloodthirster        | Power Strike
Monk.tres                                | Monk                 | Flurry Strike        | Chi Burst
Paladin.tres                             | Paladin              | Smite                | Aegis Strike
PromotedClass\Assassin.tres              | Assassin             | Ultimate Shadow Step | Shadow Pin
PromotedClass\Berserker.tres             | Berserker            | Adrenaline Rush      | Savage Toss
PromotedClass\BladeDancer.tres           | Blade Dancer         | Blade Tempest        | Flurry Strike
PromotedClass\BladeMaster.tres           | Blademaster          | Hundred Point Strike | Blade Tempest
PromotedClass\BladeWeaver.tres           | Blade Weaver         | Blade Tempest        | Elemental Convergence
PromotedClass\BowKnight.tres             | BowKnight            | Volley               | Parting Shot
PromotedClass\DeathKnight.tres           | Death Knight         | Soul Harvest         | Hellfire
PromotedClass\DivineSage.tres            | Divine Sage          | Healing Light        | Sacred Judgment
PromotedClass\Dreadnought.tres           | Dreadnought          | Earthshatter         | Adrenaline Rush
PromotedClass\FalconKnight.tres          | Falcon Knight        | Parting Shot         | Deadeye Shot
PromotedClass\FireSage.tres              | Fire Sage            | Hellfire             | Meteor Storm
PromotedClass\General.tres               | General              | Vanguard's Rally     | Severing Strike
PromotedClass\GreatKnight.tres           | Great Knight         | Vanguard's Rally     | Aegis Strike
PromotedClass\HeavyArcher.tres           | Heavy Archer         | Rain of Arrows       | Deadeye Shot
PromotedClass\Hero.tres                  | Hero                 | Blade Tempest        | Hundred Point Strike
PromotedClass\HighPaladin.tres           | High Paladin         | Sacred Judgment      | Aegis Strike
PromotedClass\Muse.tres                  | Muse                 | Battle Cry           | Vanguard's Rally
PromotedClass\PackLeader.tres            | Pack Leader          | Frenzy               | Savage Toss
PromotedClass\SiegeMaster.tres           | Siege Master         | Rain of Arrows       | Ballista Shot
PromotedClass\SkyVanguard.tres           | Sky Vanguard         | Aether Bind          | Parting Shot
PromotedClass\WildWarden.tres            | Wild Warden          | Rending Claw         | Roar
Spellblade.tres                          | Spellblade           | Flame Blade          | Elemental Convergence
Thief.tres                               | Thief                | Shadow Strike        | Assassinate
Warrior.tres                             | Warrior              | Charge               | Power Strike
